accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude,cluster
2024-08-27,9:40:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",46,,зіткнення бокове,керування транспортним засобом у нетверезому стані,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,,,,,,,,49.872997,24.048439,4
2024-08-16,7:17:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,96,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.80505,23.988611,0
2024-08-27,2:30:00 PM,вівторок,місто,Винники,Личаківський,вулиця,Галицька,85,,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,,,,,,,,,,49.817936,24.15134,1
2024-09-07,1:46:00 PM,субота,місто,Львів,Шевченківський,вулиця,"Ковалика, проф.",1,,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,,,49.867679,23.952239,3
2024-09-10,3:30:00 PM,вівторок,місто,Львів,Галицький,вулиця,Коперника М.,45,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.832436,24.018667,4
2024-08-18,11:15:00 AM,неділя,місто,Львів,Личаківський,вулиця,Личаківська,217,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,,,,,,,,,,49.835806,24.074129,1
2024-09-09,2:50:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",24,,падіння пасажира,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,,,49.871195,24.040237,4
2024-08-22,3:16:00 PM,четвер,місто,Львів,Личаківський,вулиця,Вахнянина А.,17,,перекидання тз,перевищення безпечної швидкості,1,легко травмований,,,,,,,,,,,49.829401,24.055467,2
2024-08-30,10:10:00 PM,п'ятниця,місто,Львів,Галицький,проспект,"Свободи, просп.",11,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.84056,24.027448,4
2024-08-19,2:08:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Прилбицька,,5 км колії Ж/Д 7 пікет,"наїзд на транспортний засіб, що стоїть - по ходу руху",порушення правил проїзду залізничних переїздів,2,без ушкоджень,помер на місці дтп,,,,,,,,,,49.875413,23.949369,3
2024-08-17,1:38:00 PM,субота,місто,Львів,Сихівський,вулиця,Мирного Панаса,22а,,зіткнення бокове,порушення правил обгону,2,без ушкоджень,легко травмований,,,,,,,,,,49.815354,24.030318,2
2024-08-23,10:45:00 PM,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,,вул. Городоцька - вул. Шпитальна,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,,,,,,,,,,49.844258,24.024691,4
2024-08-18,4:30:00 PM,неділя,місто,Львів,Сихівський,вулиця,Угорська,12,,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил під час зміни напрямку руху, не пов’язане з перестроюванням",2,без ушкоджень,легко травмований,,,,,,,,,,49.812058,24.040757,2
2024-08-24,11:10:00 PM,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",36,,перекидання тз,перевищення безпечної швидкості,1,легко травмований,,,,,,,,,,,49.798504,24.047726,2
2024-08-10,9:30:00 PM,субота,місто,Львів,Галицький,вулиця,Стуса В.,4,,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,інші порушення правил руху,2,без ушкоджень,легко травмований,,,,,,,,,,49.821923,24.039084,2
2024-08-26,8:14:00 PM,понеділок,місто,Львів,Личаківський,вулиця,Ковельська,62,,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,,,,,,,,,,49.858602,24.05905,4
2024-08-26,6:30:00 PM,понеділок,місто,Львів,Сихівський,вулиця,Сихівська,,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.794383,24.063363,2
2024-08-26,8:37:00 AM,понеділок,місто,Львів,Галицький,вулиця,Городоцька,8,,падіння пасажира,порушення правил перевезення пасажирів,3,легко травмований,легко травмований,легко травмований,,,,,,,,,49.843971,24.023999,4
2024-09-02,9:15:00 PM,понеділок,місто,Львів,Личаківський,вулиця,Зелена,10,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.833464,24.036402,4
2024-08-17,7:01:00 PM,субота,місто,Львів,Шевченківський,вулиця,Миколайчука І.,11,,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,,,,,,,,,49.875911,24.039883,4
2024-09-04,5:33:00 PM,середа,місто,Львів,Галицький,вулиця,Вітовського Д.,41,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.830007,24.023838,4
2024-08-28,12:15:00 PM,середа,місто,Львів,Сихівський,вулиця,Козельницька,41,,наїзд на інші види перешкод,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.811304,24.025024,2
2024-08-27,3:30:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Сихівська,16а,,перекидання тз,перевищення безпечної швидкості,1,легко травмований,,,,,,,,,,,49.795228,24.064178,2
2024-08-18,11:55:00 AM,неділя,місто,Львів,Залізничний,вулиця,Рудненська,10,,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,,,,,,,,,,49.836716,23.968257,0
2024-08-29,2:01:00 AM,четвер,місто,Львів,Галицький,проспект,"Свободи, просп.",16,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,легко травмований,легко травмований,,,,,,,,,,49.841664,24.028805,4
2024-09-05,6:01:00 PM,четвер,місто,Львів,Сихівський,вулиця,Довженка О.,,,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.800007,24.054351,2
2024-09-10,5:05:00 PM,вівторок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,18,,наїзд на велосипедиста - на велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.836775,24.072928,1
